Sat0_x,Sat1_x,Sat2_x,Sat3_x,Sat0_y,Sat1_y,Sat2_y,Sat3_y
10058.97880250311,9838.488379918977,9823.063592490671,10323.023240162045,10080.755810040511,10117.95760500622,9757.732569878466,9764.08478998756
10058.168308946388,9837.316899042125,9825.495073160835,10325.36620191575,10081.341550478937,10116.336617892777,9755.975348563188,9767.326764214447
10057.351998607246,9836.161686339801,9827.944004178264,10327.6766273204,10081.9191568301,10114.703997214492,9754.2425295097,9770.592005571018
10056.529953116036,9835.02285733231,9830.410140651893,10329.95428533538,10082.488571333844,10113.05990623207,9752.534285998465,9773.880187535859
10055.702254676622,9833.900525901607,9832.893235970136,10332.198948196788,10083.049737049198,10111.404509353244,9750.85078885241,9777.190981293514
10054.868986058158,9832.794804279896,9835.393041825524,10334.410391440208,10083.602597860052,10109.737972116318,9749.192206419844,9780.524055767364
10054.030230586814,9831.705803038421,9837.909308239558,10336.588393923159,10084.14709848079,10108.060461173627,9747.55870455763,9783.879077652744
10053.186072137436,9830.633631076396,9840.441783587694,10338.732737847205,10084.683184461801,10106.372144274872,9745.950446614595,9787.255711450258
10052.336595125165,9829.578395610128,9842.990214624506,10340.843208779745,10085.210802194937,10104.67319025033,9744.36759341519,9790.65361949934
10051.481884496996,9828.54020216228,9845.554346509014,10342.919595675441,10085.72989891886,10102.963768993992,9742.81030324342,9794.072462012018
10050.622025723278,9827.519154551332,9848.133922830166,10344.961690897335,10086.240422724333,10101.244051446556,9741.278731826998,9797.511897106888
